iter	RMSE
0	97.29602034
1	90.63204129
2	85.11145828
3	79.67044429
4	74.700735
5	70.31360245
6	66.89120216
7	63.22236344
8	60.50371421
9	57.52318805
10	54.94969502
11	52.39839564
12	49.99628347
13	47.886337
14	46.32696147
15	44.57729033
16	43.03714245
17	41.70623796
18	40.70587555
19	39.668824
20	38.55059082
21	37.95370621
22	37.12124115
23	36.16255029
24	35.39150067
25	34.79356281
26	34.11963055
27	33.5277313
28	33.00523353
29	32.39562062
30	31.95999288
31	31.59047844
32	31.22396398
33	30.65481659
34	30.21902779
35	29.86223736
36	29.50551107
37	29.20677815
38	28.91449195
39	28.65965812
40	28.34536568
41	27.89084854
42	27.64387266
43	27.26178946
44	27.00285091
45	26.78002971
46	26.56169641
47	26.30557506
48	26.07209332
49	25.90276136
50	25.69133692
51	25.3512391
52	25.11717624
53	24.83255314
54	24.56516754
55	24.40201403
56	24.2082769
57	24.03095223
58	23.78352473
59	23.57809696
60	23.41616193
61	23.20254057
62	22.98060633
63	22.80196775
64	22.614417
65	22.4651988
66	22.24215731
67	22.08744038
68	21.9113847
69	21.74261009
70	21.58314419
71	21.45717842
72	21.33918987
73	21.16620348
74	21.01528761
75	20.88514645
76	20.75740794
77	20.5947935
78	20.43475659
79	20.31144916
80	20.17381251
81	20.0277396
82	19.91282406
83	19.80381778
84	19.64907708
85	19.50319053
86	19.38239487
87	19.2688895
88	19.15257547
89	18.99505516
90	18.89653281
91	18.78107574
92	18.63855168
93	18.46557774
94	18.38040661
95	18.27966343
96	18.12587488
97	18.00895825
98	17.90386612
99	17.79840049
100	17.70717206
101	17.59016433
102	17.46134412
103	17.36204166
104	17.2142642
105	17.04428655
106	16.91992515
107	16.76061063
108	16.6888285
109	16.578533
110	16.42995277
111	16.30780496
112	16.17475976
113	16.11301367
114	16.05247512
115	15.94729001
116	15.85453445
117	15.7952844
118	15.67642329
119	15.56956197
120	15.45342746
121	15.36339299
122	15.29860061
123	15.20952193
124	15.1366539
125	15.08581364
126	15.00696338
127	14.99152803
128	14.86649503
129	14.81256333
130	14.79385806
131	14.6984191
132	14.61289321
133	14.55696982
134	14.49351544
135	14.39575117
136	14.31964753
137	14.26931545
138	14.25165468
139	14.19166521
140	14.17573129
141	14.13141008
142	14.05981951
143	14.04810746
144	13.95021764
145	13.93617814
146	13.83651644
147	13.77561721
148	13.73896284
149	13.72823007
150	13.66890971
151	13.59596908
152	13.52797412
153	13.49644068
154	13.45296762
155	13.36642533
156	13.31346324
157	13.27062774
158	13.229081
159	13.17566113
160	13.16444585
161	13.15479149
162	13.11394655
163	13.10422887
164	13.03936304
165	12.99611415
166	12.96872377
167	12.95973678
168	12.88418063
169	12.87745743
170	12.81071329
171	12.77780355
172	12.6639949
173	12.60540016
174	12.56413317
175	12.55605533
176	12.49204211
177	12.48506288
178	12.4543408
179	12.41515905
180	12.36988701
181	12.30954045
182	12.27093094
183	12.19507848
184	12.13988441
185	12.04247118
186	12.03605619
187	11.99435499
188	11.93043417
189	11.88616961
190	11.84580598
191	11.83890859
192	11.78330017
193	11.72770758
194	11.6659592
195	11.65935719
196	11.59804426
197	11.55427354
198	11.50703307
199	11.44867901
